tokens,tags,valid
Rekomendasi tempat dufan di Semarang yang harganya sekitar 100000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Saya ingin pergi ke pusat belanja di Bandung,O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Ada rekomendasi gunung yang bagus di Bandung,O O B-CATEGORY O O O B-CITY,True
Tempat laut di Yogyakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Rekomendasi tempat museum di Surabaya yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Apakah ada museum yang murah di sekitar Bandung,O O B-CATEGORY O O O O B-CITY,True
Saya suka tempat wisata seperti masjid di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat keraton di Jakarta yang harganya sekitar 50rb,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Aku pengen ke wahana di Bandung ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Aku lagi nyari masjid di Yogyakarta yang harganya 100000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari masjid di Semarang yang harganya gratis dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi museum yang bagus di Surabaya,O O B-CATEGORY O O O B-CITY,True
Aku pengen ke pura di Bandung ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Ada tempat gunung dengan rating 5 di Surabaya,O O B-CATEGORY O O B-RATING O B-CITY,True
Ada rekomendasi taman bermain yang bagus di Jakarta,O O B-CATEGORY I-CATEGORY O B-RATING O B-CITY,True
Tempat pantai di Yogyakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Apakah ada laut yang murah di sekitar Bandung,O O B-CATEGORY O B-PRICE O O B-CITY,True
Berapa harga tiket masuk ke pulau di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat gereja di Semarang yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Ada rekomendasi pantai yang bagus di Yogyakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Aku pengen ke vihara di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O B-RATING O O,True
Ada rekomendasi candi yang bagus di Bandung,O O B-CATEGORY O B-RATING O B-CITY,True
Saya suka tempat wisata seperti batik di Bandung,O O O O O B-CATEGORY O B-CITY,True
Apakah ada kebun raya yang murah di sekitar Jakarta,O O B-CATEGORY I-CATEGORY O B-PRICE O O B-CITY,True
Saya ingin pergi ke kebun raya di Surabaya,O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Tempat kapal di Surabaya punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Apakah ada pulau yang murah di sekitar Semarang,O O B-CATEGORY O B-PRICE O O B-CITY,True
Ada rekomendasi theme park yang bagus di Semarang,O O B-CATEGORY I-CATEGORY O B-RATING O B-CITY,True
Aku pengen ke pulau di Surabaya ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Aku lagi nyari pantai di Yogyakarta yang harganya gratis dan ratingnya 4.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya suka tempat wisata seperti kapal di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Apakah ada gunung yang murah di sekitar Surabaya,O O B-CATEGORY O B-PRICE O O B-CITY,True
Berapa harga tiket masuk ke pura di Bandung,O O O O O B-CATEGORY O B-CITY,True
Ada rekomendasi keraton yang bagus di Yogyakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Berapa harga tiket masuk ke mall di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Ada tempat candi dengan rating 3.5 di Surabaya,O O B-CATEGORY O O B-RATING O B-CITY,True
Saya ingin pergi ke pasar di Semarang,O O O O B-CATEGORY O B-CITY,True
Aku pengen ke kapal di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Saya suka tempat wisata seperti pantai di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Ada tempat pulau dengan rating 4.0 di Yogyakarta,O O B-CATEGORY O O B-RATING O B-CITY,True
Aku pengen ke batik di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Saya ingin pergi ke vihara di Bandung,O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat air terjun di Surabaya yang harganya sekitar 100k,O O B-CATEGORY I-CATEGORY O B-CITY O O O B-PRICE,True
Berapa harga tiket masuk ke batik di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Tempat kebun raya di Surabaya punya rating berapa,O B-CATEGORY I-CATEGORY O B-CITY O O O,True
Saya ingin pergi ke snorkeling di Surabaya,O O O O B-CATEGORY O B-CITY,True
Berapa harga tiket masuk ke air terjun di Jakarta,O O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Apakah ada air terjun yang murah di sekitar Bandung,O O B-CATEGORY I-CATEGORY O B-PRICE O O B-CITY,True
Saya suka tempat wisata seperti dufan di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari toko di Semarang yang harganya 50000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya ingin pergi ke plaza di Yogyakarta,O O O O B-CATEGORY O B-CITY,True
Berapa harga tiket masuk ke museum di Bandung,O O O O O B-CATEGORY O B-CITY,True
Saya suka tempat wisata seperti gunung di Semarang,O O O O O B-CATEGORY O B-CITY,True
Ada tempat vihara dengan rating 4.5 di Bandung,O O B-CATEGORY O O B-RATING O B-CITY,True
Rekomendasi tempat gunung di Surabaya yang harganya sekitar 10000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Rekomendasi tempat arena di Surabaya yang harganya sekitar 100000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Saya suka tempat wisata seperti hutan di Yogyakarta,O O O O O B-CATEGORY O B-CITY,True
Ada tempat keraton dengan rating 3.5 di Semarang,O O B-CATEGORY O O B-RATING O B-CITY,True
Saya suka tempat wisata seperti pulau di Bandung,O O O O O B-CATEGORY O B-CITY,True
Saya ingin pergi ke pusat belanja di Semarang,O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Ada rekomendasi seni yang bagus di Jakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Tempat pantai di Yogyakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Berapa harga tiket masuk ke pura di Semarang,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari arena di Surabaya yang harganya 50000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari arena di Yogyakarta yang harganya 100000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Rekomendasi tempat keraton di Bandung yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Tempat plaza di Jakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Aku pengen ke kapal di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Aku lagi nyari danau di Yogyakarta yang harganya 100000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari masjid di Surabaya yang harganya gratis dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi gereja yang bagus di Yogyakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Apakah ada seni yang murah di sekitar Yogyakarta,O O B-CATEGORY O B-PRICE O O B-CITY,True
Berapa harga tiket masuk ke air terjun di Surabaya,O O O O O B-CATEGORY I-CATEGORY O O,True
Rekomendasi tempat candi di Bandung yang harganya sekitar 20000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Saya suka tempat wisata seperti klenteng di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari kapal di Jakarta yang harganya 50000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Berapa harga tiket masuk ke pulau di Bandung,O O O O O B-CATEGORY O B-CITY,True
Tempat theme park di Surabaya punya rating berapa,O B-CATEGORY I-CATEGORY O B-CITY O O O,True
Saya ingin pergi ke laut di Semarang,O O O O B-CATEGORY O B-CITY,True
Berapa harga tiket masuk ke keraton di Semarang,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari seni di Surabaya yang harganya 10000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku pengen ke pura di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Saya ingin pergi ke pusat belanja di Jakarta,O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Ada rekomendasi snorkeling yang bagus di Surabaya,O O B-CATEGORY O B-RATING O B-CITY,True
Berapa harga tiket masuk ke gunung di Yogyakarta,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari hutan di Jakarta yang harganya 20000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku pengen ke laut di Bandung ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Tempat museum di Surabaya punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Saya suka tempat wisata seperti mall di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Ada tempat dufan dengan rating 5.0 di Bandung,O O B-CATEGORY O O B-RATING O B-CITY,True
Ada rekomendasi keraton yang bagus di Bandung,O O B-CATEGORY O B-RATING O B-CITY,True
Aku lagi nyari batik di Jakarta yang harganya 50000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi arena yang bagus di Semarang,O O B-CATEGORY O B-RATING O B-CITY,True
Aku pengen ke vihara di Semarang ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Aku lagi nyari kapal di Surabaya yang harganya 50000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Tempat toko di Semarang punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Aku lagi nyari gereja di Bandung yang harganya 20000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari batik di Semarang yang harganya 20000 dan ratingnya 4.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
